Disease_Entity	LSF_Entity	Relationship_Type	Publication_ID	Category	Disease_BRAT_ID	LSF_BRAT_ID	Disease_Entity_Span	LSF_Entity_Span	Abstract_Text
asthma	traffic-related particulate matter exposure	Causes	29936100	train	T2	T3	37:43	66:109	"Vitamin D supplementation attenuates asthma development following traffic-related particulate matter exposure. 
BACKGROUND: Recent literature suggests that children who are vitamin D deficient are uniquely susceptible to the effects of traffic-related air pollution (TRAP) exposure. This is highly significant because large segments of the population reside in zones of high TRAP exposure. OBJECTIVE: We sought to determine whether vitamin D supplementation mitigates the effect of TRAP exposure on asthma development, asthma exacerbation, and/or airway inflammation and to determine the timing of vitamin D supplementation that confers maximal health benefit. METHODS: Using established mouse models of asthma, we examined the effect of prenatal and postnatal vitamin D supplementation on asthma development, as well as the utility of vitamin D as a treatment for established asthma in the context of diesel exhaust particle (DEP) exposure. RESULTS: DEP and allergen coexposure resulted in increased airway hyperresponsiveness (AHR) and accumulation of pathogenic TH2/TH17 cells in the lungs of vitamin D-deficient mice compared with control mice. Prenatal and postnatal vitamin D supplementation significantly attenuated the development of AHR and decreased pulmonary accumulation of TH2/TH17 cells after coexposure to TRAP and allergen but not to allergen alone. Restoration of normal vitamin D status had no effect on AHR once asthma was already established. CONCLUSIONS: Our data establish that vitamin D confers protection against asthma development specifically in the context of TRAP exposure. Although vitamin D replacement did not reverse established asthma, restoration of normal vitamin D status in early life significantly attenuated the development of AHR in the setting of DEP-exacerbated allergic asthma and reduced numbers of lung TH2/TH17 cells, which portend the development of severe asthma."
asthma	vitamin D	Prevents	29936100	train	T20	T19	1537:1543	1500:1509	"Vitamin D supplementation attenuates asthma development following traffic-related particulate matter exposure. 
BACKGROUND: Recent literature suggests that children who are vitamin D deficient are uniquely susceptible to the effects of traffic-related air pollution (TRAP) exposure. This is highly significant because large segments of the population reside in zones of high TRAP exposure. OBJECTIVE: We sought to determine whether vitamin D supplementation mitigates the effect of TRAP exposure on asthma development, asthma exacerbation, and/or airway inflammation and to determine the timing of vitamin D supplementation that confers maximal health benefit. METHODS: Using established mouse models of asthma, we examined the effect of prenatal and postnatal vitamin D supplementation on asthma development, as well as the utility of vitamin D as a treatment for established asthma in the context of diesel exhaust particle (DEP) exposure. RESULTS: DEP and allergen coexposure resulted in increased airway hyperresponsiveness (AHR) and accumulation of pathogenic TH2/TH17 cells in the lungs of vitamin D-deficient mice compared with control mice. Prenatal and postnatal vitamin D supplementation significantly attenuated the development of AHR and decreased pulmonary accumulation of TH2/TH17 cells after coexposure to TRAP and allergen but not to allergen alone. Restoration of normal vitamin D status had no effect on AHR once asthma was already established. CONCLUSIONS: Our data establish that vitamin D confers protection against asthma development specifically in the context of TRAP exposure. Although vitamin D replacement did not reverse established asthma, restoration of normal vitamin D status in early life significantly attenuated the development of AHR in the setting of DEP-exacerbated allergic asthma and reduced numbers of lung TH2/TH17 cells, which portend the development of severe asthma."
allergic asthma	DEP	Causes	29936100	train	T24	T45	1804:1819	1788:1791	"Vitamin D supplementation attenuates asthma development following traffic-related particulate matter exposure. 
BACKGROUND: Recent literature suggests that children who are vitamin D deficient are uniquely susceptible to the effects of traffic-related air pollution (TRAP) exposure. This is highly significant because large segments of the population reside in zones of high TRAP exposure. OBJECTIVE: We sought to determine whether vitamin D supplementation mitigates the effect of TRAP exposure on asthma development, asthma exacerbation, and/or airway inflammation and to determine the timing of vitamin D supplementation that confers maximal health benefit. METHODS: Using established mouse models of asthma, we examined the effect of prenatal and postnatal vitamin D supplementation on asthma development, as well as the utility of vitamin D as a treatment for established asthma in the context of diesel exhaust particle (DEP) exposure. RESULTS: DEP and allergen coexposure resulted in increased airway hyperresponsiveness (AHR) and accumulation of pathogenic TH2/TH17 cells in the lungs of vitamin D-deficient mice compared with control mice. Prenatal and postnatal vitamin D supplementation significantly attenuated the development of AHR and decreased pulmonary accumulation of TH2/TH17 cells after coexposure to TRAP and allergen but not to allergen alone. Restoration of normal vitamin D status had no effect on AHR once asthma was already established. CONCLUSIONS: Our data establish that vitamin D confers protection against asthma development specifically in the context of TRAP exposure. Although vitamin D replacement did not reverse established asthma, restoration of normal vitamin D status in early life significantly attenuated the development of AHR in the setting of DEP-exacerbated allergic asthma and reduced numbers of lung TH2/TH17 cells, which portend the development of severe asthma."
asthma	TRAP	Causes	29936100	train	T20	T44	1537:1543	1587:1591	"Vitamin D supplementation attenuates asthma development following traffic-related particulate matter exposure. 
BACKGROUND: Recent literature suggests that children who are vitamin D deficient are uniquely susceptible to the effects of traffic-related air pollution (TRAP) exposure. This is highly significant because large segments of the population reside in zones of high TRAP exposure. OBJECTIVE: We sought to determine whether vitamin D supplementation mitigates the effect of TRAP exposure on asthma development, asthma exacerbation, and/or airway inflammation and to determine the timing of vitamin D supplementation that confers maximal health benefit. METHODS: Using established mouse models of asthma, we examined the effect of prenatal and postnatal vitamin D supplementation on asthma development, as well as the utility of vitamin D as a treatment for established asthma in the context of diesel exhaust particle (DEP) exposure. RESULTS: DEP and allergen coexposure resulted in increased airway hyperresponsiveness (AHR) and accumulation of pathogenic TH2/TH17 cells in the lungs of vitamin D-deficient mice compared with control mice. Prenatal and postnatal vitamin D supplementation significantly attenuated the development of AHR and decreased pulmonary accumulation of TH2/TH17 cells after coexposure to TRAP and allergen but not to allergen alone. Restoration of normal vitamin D status had no effect on AHR once asthma was already established. CONCLUSIONS: Our data establish that vitamin D confers protection against asthma development specifically in the context of TRAP exposure. Although vitamin D replacement did not reverse established asthma, restoration of normal vitamin D status in early life significantly attenuated the development of AHR in the setting of DEP-exacerbated allergic asthma and reduced numbers of lung TH2/TH17 cells, which portend the development of severe asthma."
osteoporosis	vitamin D	Controls	30956224	train	T19	T20	1459:1471	1522:1531	"Comparison of the effect of vitamin D on osteoporosis and osteoporotic patients with healthy individuals referred to the Bone Density Measurement Center. 
Objective Osteoporosis is the most common metabolic disease of the bones. Osteoporosis reduces bone density, predisposes a person to fractures, and imposes high costs on societies. Osteoporosis develops from a variety of causes, one of the most significant is vitamin D deficiency. This study investigates the impact of vitamin D on osteoporosis. Materials and Methods In this clinical trial, 400 patients referred to the Bone Density Clinic of Kowsar Hospital in Semnan were selected by convenience sampling method. Bone densitometry tests were carried out using DEXA (x-ray absorptiometry) and serum vitamin D levels were measured by the ELISA method. Subjects with vitamin D deficiency were treated for 8 weeks with (50,000 Vitamin D units per week. At the end of the treatment period, all subjects were evaluated for bone density and the results of both groups were compared. Results 13% of subjects had osteoporosis and 14.2% had osteopenia. 19% of subjects had vitamin D deficiency, 38.8% had insufficient levels of vitamin D, and 42.3% had sufficient vitamin D levels. The level of vitamin D in patients with osteoporosis (5.50 +/- 5.5 ng/ml) was less than those with osteopenia (7.83 +/- 4.8 ng/ml) and those with normal bone mineral density (23.88 +/- 18.42 ng/ml) (P <0.001). The prevalence of osteoporosis in the intervention group after intervention with vitamin D was significantly lower than the control group (32.3 versus 67.7 and P <0.001). Conclusion The prevalence of serum vitamin D deficiency in osteopenic and osteoporotic individuals was higher than in normal subjects, with a significant relationship between age and sex. Thus, treatment with vitamin D improves bone density indices."
vitamin D deficiency	Vitamin D	Treats	30956224	train	T24	T12	823:843	882:891	"Comparison of the effect of vitamin D on osteoporosis and osteoporotic patients with healthy individuals referred to the Bone Density Measurement Center. 
Objective Osteoporosis is the most common metabolic disease of the bones. Osteoporosis reduces bone density, predisposes a person to fractures, and imposes high costs on societies. Osteoporosis develops from a variety of causes, one of the most significant is vitamin D deficiency. This study investigates the impact of vitamin D on osteoporosis. Materials and Methods In this clinical trial, 400 patients referred to the Bone Density Clinic of Kowsar Hospital in Semnan were selected by convenience sampling method. Bone densitometry tests were carried out using DEXA (x-ray absorptiometry) and serum vitamin D levels were measured by the ELISA method. Subjects with vitamin D deficiency were treated for 8 weeks with (50,000 Vitamin D units per week. At the end of the treatment period, all subjects were evaluated for bone density and the results of both groups were compared. Results 13% of subjects had osteoporosis and 14.2% had osteopenia. 19% of subjects had vitamin D deficiency, 38.8% had insufficient levels of vitamin D, and 42.3% had sufficient vitamin D levels. The level of vitamin D in patients with osteoporosis (5.50 +/- 5.5 ng/ml) was less than those with osteopenia (7.83 +/- 4.8 ng/ml) and those with normal bone mineral density (23.88 +/- 18.42 ng/ml) (P <0.001). The prevalence of osteoporosis in the intervention group after intervention with vitamin D was significantly lower than the control group (32.3 versus 67.7 and P <0.001). Conclusion The prevalence of serum vitamin D deficiency in osteopenic and osteoporotic individuals was higher than in normal subjects, with a significant relationship between age and sex. Thus, treatment with vitamin D improves bone density indices."
bulimia nervosa	interpersonal psychotherapy	Treats	15800147	train	T5	T4	281:296	216:243	"Three psychotherapies for anorexia nervosa: a randomized, controlled trial. 
OBJECTIVE: Few randomized, controlled trials have examined the efficacy of treatments for anorexia nervosa. Cognitive behavior therapy and interpersonal psychotherapy are effective in a related disorder, bulimia nervosa. There are theoretical and treatment indications for these therapies in anorexia nervosa. METHOD: Fifty-six women with anorexia nervosa diagnosed by using strict and lenient weight criteria were randomly assigned to three treatments. Two were specialized psychotherapies (cognitive behavior therapy and interpersonal psychotherapy), and one was a control treatment combining clinical management and supportive psychotherapy (nonspecific supportive clinical management). Therapy consisted of 20 sessions over a minimum of 20 weeks. RESULTS: For the total study group (intent-to-treat group), there were significant differences among therapies in the primary global outcome measure. Nonspecific supportive clinical management was superior to interpersonal psychotherapy, while cognitive behavior therapy was intermediate, neither worse than nonspecific supportive clinical management nor better than interpersonal psychotherapy. For the women completing therapy, nonspecific supportive clinical management was superior to the two specialized therapies. CONCLUSIONS: The finding that nonspecific supportive clinical management was superior to more specialized psychotherapies was opposite to the primary hypothesis and challenges assumptions about the effective ingredients of successful treatments for anorexia nervosa."
bulimia nervosa	Cognitive behavior therapy	Treats	15800147	train	T5	T15	281:296	185:211	"Three psychotherapies for anorexia nervosa: a randomized, controlled trial. 
OBJECTIVE: Few randomized, controlled trials have examined the efficacy of treatments for anorexia nervosa. Cognitive behavior therapy and interpersonal psychotherapy are effective in a related disorder, bulimia nervosa. There are theoretical and treatment indications for these therapies in anorexia nervosa. METHOD: Fifty-six women with anorexia nervosa diagnosed by using strict and lenient weight criteria were randomly assigned to three treatments. Two were specialized psychotherapies (cognitive behavior therapy and interpersonal psychotherapy), and one was a control treatment combining clinical management and supportive psychotherapy (nonspecific supportive clinical management). Therapy consisted of 20 sessions over a minimum of 20 weeks. RESULTS: For the total study group (intent-to-treat group), there were significant differences among therapies in the primary global outcome measure. Nonspecific supportive clinical management was superior to interpersonal psychotherapy, while cognitive behavior therapy was intermediate, neither worse than nonspecific supportive clinical management nor better than interpersonal psychotherapy. For the women completing therapy, nonspecific supportive clinical management was superior to the two specialized therapies. CONCLUSIONS: The finding that nonspecific supportive clinical management was superior to more specialized psychotherapies was opposite to the primary hypothesis and challenges assumptions about the effective ingredients of successful treatments for anorexia nervosa."
anorexia nervosa	nonspecific supportive clinical management	Treats	15800147	train	T14	T22	1597:1613	1378:1420	"Three psychotherapies for anorexia nervosa: a randomized, controlled trial. 
OBJECTIVE: Few randomized, controlled trials have examined the efficacy of treatments for anorexia nervosa. Cognitive behavior therapy and interpersonal psychotherapy are effective in a related disorder, bulimia nervosa. There are theoretical and treatment indications for these therapies in anorexia nervosa. METHOD: Fifty-six women with anorexia nervosa diagnosed by using strict and lenient weight criteria were randomly assigned to three treatments. Two were specialized psychotherapies (cognitive behavior therapy and interpersonal psychotherapy), and one was a control treatment combining clinical management and supportive psychotherapy (nonspecific supportive clinical management). Therapy consisted of 20 sessions over a minimum of 20 weeks. RESULTS: For the total study group (intent-to-treat group), there were significant differences among therapies in the primary global outcome measure. Nonspecific supportive clinical management was superior to interpersonal psychotherapy, while cognitive behavior therapy was intermediate, neither worse than nonspecific supportive clinical management nor better than interpersonal psychotherapy. For the women completing therapy, nonspecific supportive clinical management was superior to the two specialized therapies. CONCLUSIONS: The finding that nonspecific supportive clinical management was superior to more specialized psychotherapies was opposite to the primary hypothesis and challenges assumptions about the effective ingredients of successful treatments for anorexia nervosa."
anxiety	social media usage	positive_statistical_association	33523825	train	T25	T6	434:441	382:400	"Consuming Information Related to COVID-19 on Social Media Among Older Adults and Its Association With Anxiety, Social Trust in Information, and COVID-Safe Behaviors: Cross-sectional Telephone Survey. 
BACKGROUND: COVID-19-related information on social media is overabundant and sometimes questionable, resulting in an ""infodemic"" during the pandemic. While previous studies suggest social media usage increases the risk of developing anxiety symptoms, how induced anxiety affects attitudes and behaviors is less discussed, let alone during a global pandemic. Little is known about the relationship between older adults using social media during a pandemic and their anxiety, their attitudes toward social trust in information, and behaviors to avoid contracting COVID-19. OBJECTIVE: The goal of this study was to investigate the associations between using social media for COVID-19-related information and anxiety symptoms as well as the mediation effect of anxiety symptoms on social trust in information and COVID-safe behaviors among older adults. METHODS: A cross-sectional telephone survey was conducted in Hong Kong between May and August 2020. A rapid warm-call protocol was developed to train social workers and volunteers from participant nongovernmental organizations to conduct the telephone surveys. Questions related to COVID-safe behaviors, social trust in information, social media use, anxiety and depressive symptoms, and sociodemographic information were asked. The number of confirmed COVID-19 cases at the community level was used to account for the risk of contracting COVID-19. Ordinary least squares regressions examined the associations between social media use and anxiety symptoms, and how they were associated with social trust in information and COVID-safe behaviors. Structural equation modeling further mapped out these relationships to identify the mediation effects of anxiety symptoms. RESULTS: This study collected information regarding 3421 adults aged 60 years and older. Use of social media for COVID-19-related information was associated with more anxiety symptoms and lower social trust in information but had no significant relationship with COVID-safe behaviors. Anxiety symptoms predicted lower social trust in information and higher COVID-safe behaviors. Lower social trust in information was predicted by using social media for COVID-19 information, mediated by anxiety symptoms, while no mediation effect was found for COVID-safe behaviors. CONCLUSIONS: Older adults who rely on social media for COVID-19-related information exhibited more anxiety symptoms, while showing mixed effects on attitudes and behaviors. Social trust in information may be challenged by unverified and contradictory information online. The negligible impact on COVID-safe behaviors suggested that social media may have caused more confusion than consolidating a consistent effort against the pandemic. Media literacy education is recommended to promote critical evaluation of COVID-19-related information and responsible sharing among older adults."
breast cancer	passive smoking	Statistically_associated	28151962	train	T4	T5	263:276	296:311	"Association between lifetime exposure to passive smoking and risk of breast cancer subtypes defined by hormone receptor status among non-smoking Caucasian women. 
Tobacco smoking is inconsistently associated with breast cancer. Although some studies suggest that breast cancer risk is related to passive smoking, little is known about the association with breast cancer by tumor hormone receptor status. We aimed to explore the association between lifetime passive smoking and risk of breast cancer subtypes defined by estrogen receptor and progesterone receptor status among non-smoking Caucasian women. A hospital-based case-control study was performed in 585 cases and 1170 controls aged 28-90 years. Information on lifetime passive smoking and other factors was collected via a self-administered questionnaire. Logistic regression was used for analyses restricted to the 449 cases and 930 controls who had never smoked actively. All statistical tests were two-sided. Adjusted odds ratio of breast cancer was 1.01 (95% confidence interval (CI): 0.72-1.41) in women who experienced exposure to passive smoking at work, 1.88 (95% CI: 1.38-2.55) in women who had exposure at home, and 2.80 (95% CI: 1.84-4.25) in women who were exposed at home and at work, all compared with never exposed regularly. Increased risk was associated with longer exposure: women exposed <= 20 years and > 20 years had 1.27 (95% CI: 0.97-1.66) and 2.64 (95% CI: 1.87-3.74) times higher risk of breast cancer compared with never exposed (Ptrend < 0.001). The association of passive smoking with hormone receptor-positive breast cancer did not differ from that with hormone receptor-negative breast cancer (Pheterogeneity > 0.05). There was evidence of interaction between passive smoking intensity and menopausal status in both overall group (P = 0.02) and hormone receptor-positive breast cancer group (P < 0.05). In Caucasian women, lifetime exposure to passive smoking is associated with the risk of breast cancer independent of tumor hormone receptor status with the strongest association in postmenopausal women."
breast cancer	passive smoking	Statistically_associated	28151962	train	T19	T18	1980:1993	1933:1948	"Association between lifetime exposure to passive smoking and risk of breast cancer subtypes defined by hormone receptor status among non-smoking Caucasian women. 
Tobacco smoking is inconsistently associated with breast cancer. Although some studies suggest that breast cancer risk is related to passive smoking, little is known about the association with breast cancer by tumor hormone receptor status. We aimed to explore the association between lifetime passive smoking and risk of breast cancer subtypes defined by estrogen receptor and progesterone receptor status among non-smoking Caucasian women. A hospital-based case-control study was performed in 585 cases and 1170 controls aged 28-90 years. Information on lifetime passive smoking and other factors was collected via a self-administered questionnaire. Logistic regression was used for analyses restricted to the 449 cases and 930 controls who had never smoked actively. All statistical tests were two-sided. Adjusted odds ratio of breast cancer was 1.01 (95% confidence interval (CI): 0.72-1.41) in women who experienced exposure to passive smoking at work, 1.88 (95% CI: 1.38-2.55) in women who had exposure at home, and 2.80 (95% CI: 1.84-4.25) in women who were exposed at home and at work, all compared with never exposed regularly. Increased risk was associated with longer exposure: women exposed <= 20 years and > 20 years had 1.27 (95% CI: 0.97-1.66) and 2.64 (95% CI: 1.87-3.74) times higher risk of breast cancer compared with never exposed (Ptrend < 0.001). The association of passive smoking with hormone receptor-positive breast cancer did not differ from that with hormone receptor-negative breast cancer (Pheterogeneity > 0.05). There was evidence of interaction between passive smoking intensity and menopausal status in both overall group (P = 0.02) and hormone receptor-positive breast cancer group (P < 0.05). In Caucasian women, lifetime exposure to passive smoking is associated with the risk of breast cancer independent of tumor hormone receptor status with the strongest association in postmenopausal women."
breast cancer	passive smoking	Statistically_associated	28151962	train	T14	T13	1598:1611	1551:1566	"Association between lifetime exposure to passive smoking and risk of breast cancer subtypes defined by hormone receptor status among non-smoking Caucasian women. 
Tobacco smoking is inconsistently associated with breast cancer. Although some studies suggest that breast cancer risk is related to passive smoking, little is known about the association with breast cancer by tumor hormone receptor status. We aimed to explore the association between lifetime passive smoking and risk of breast cancer subtypes defined by estrogen receptor and progesterone receptor status among non-smoking Caucasian women. A hospital-based case-control study was performed in 585 cases and 1170 controls aged 28-90 years. Information on lifetime passive smoking and other factors was collected via a self-administered questionnaire. Logistic regression was used for analyses restricted to the 449 cases and 930 controls who had never smoked actively. All statistical tests were two-sided. Adjusted odds ratio of breast cancer was 1.01 (95% confidence interval (CI): 0.72-1.41) in women who experienced exposure to passive smoking at work, 1.88 (95% CI: 1.38-2.55) in women who had exposure at home, and 2.80 (95% CI: 1.84-4.25) in women who were exposed at home and at work, all compared with never exposed regularly. Increased risk was associated with longer exposure: women exposed <= 20 years and > 20 years had 1.27 (95% CI: 0.97-1.66) and 2.64 (95% CI: 1.87-3.74) times higher risk of breast cancer compared with never exposed (Ptrend < 0.001). The association of passive smoking with hormone receptor-positive breast cancer did not differ from that with hormone receptor-negative breast cancer (Pheterogeneity > 0.05). There was evidence of interaction between passive smoking intensity and menopausal status in both overall group (P = 0.02) and hormone receptor-positive breast cancer group (P < 0.05). In Caucasian women, lifetime exposure to passive smoking is associated with the risk of breast cancer independent of tumor hormone receptor status with the strongest association in postmenopausal women."
breast cancer	passive smoking	Statistically_associated	28151962	train	T15	T13	1668:1681	1551:1566	"Association between lifetime exposure to passive smoking and risk of breast cancer subtypes defined by hormone receptor status among non-smoking Caucasian women. 
Tobacco smoking is inconsistently associated with breast cancer. Although some studies suggest that breast cancer risk is related to passive smoking, little is known about the association with breast cancer by tumor hormone receptor status. We aimed to explore the association between lifetime passive smoking and risk of breast cancer subtypes defined by estrogen receptor and progesterone receptor status among non-smoking Caucasian women. A hospital-based case-control study was performed in 585 cases and 1170 controls aged 28-90 years. Information on lifetime passive smoking and other factors was collected via a self-administered questionnaire. Logistic regression was used for analyses restricted to the 449 cases and 930 controls who had never smoked actively. All statistical tests were two-sided. Adjusted odds ratio of breast cancer was 1.01 (95% confidence interval (CI): 0.72-1.41) in women who experienced exposure to passive smoking at work, 1.88 (95% CI: 1.38-2.55) in women who had exposure at home, and 2.80 (95% CI: 1.84-4.25) in women who were exposed at home and at work, all compared with never exposed regularly. Increased risk was associated with longer exposure: women exposed <= 20 years and > 20 years had 1.27 (95% CI: 0.97-1.66) and 2.64 (95% CI: 1.87-3.74) times higher risk of breast cancer compared with never exposed (Ptrend < 0.001). The association of passive smoking with hormone receptor-positive breast cancer did not differ from that with hormone receptor-negative breast cancer (Pheterogeneity > 0.05). There was evidence of interaction between passive smoking intensity and menopausal status in both overall group (P = 0.02) and hormone receptor-positive breast cancer group (P < 0.05). In Caucasian women, lifetime exposure to passive smoking is associated with the risk of breast cancer independent of tumor hormone receptor status with the strongest association in postmenopausal women."
breast cancer	passive smoking	positive_statistical_association	28151962	train	T10	T11	994:1007	1096:1111	"Association between lifetime exposure to passive smoking and risk of breast cancer subtypes defined by hormone receptor status among non-smoking Caucasian women. 
Tobacco smoking is inconsistently associated with breast cancer. Although some studies suggest that breast cancer risk is related to passive smoking, little is known about the association with breast cancer by tumor hormone receptor status. We aimed to explore the association between lifetime passive smoking and risk of breast cancer subtypes defined by estrogen receptor and progesterone receptor status among non-smoking Caucasian women. A hospital-based case-control study was performed in 585 cases and 1170 controls aged 28-90 years. Information on lifetime passive smoking and other factors was collected via a self-administered questionnaire. Logistic regression was used for analyses restricted to the 449 cases and 930 controls who had never smoked actively. All statistical tests were two-sided. Adjusted odds ratio of breast cancer was 1.01 (95% confidence interval (CI): 0.72-1.41) in women who experienced exposure to passive smoking at work, 1.88 (95% CI: 1.38-2.55) in women who had exposure at home, and 2.80 (95% CI: 1.84-4.25) in women who were exposed at home and at work, all compared with never exposed regularly. Increased risk was associated with longer exposure: women exposed <= 20 years and > 20 years had 1.27 (95% CI: 0.97-1.66) and 2.64 (95% CI: 1.87-3.74) times higher risk of breast cancer compared with never exposed (Ptrend < 0.001). The association of passive smoking with hormone receptor-positive breast cancer did not differ from that with hormone receptor-negative breast cancer (Pheterogeneity > 0.05). There was evidence of interaction between passive smoking intensity and menopausal status in both overall group (P = 0.02) and hormone receptor-positive breast cancer group (P < 0.05). In Caucasian women, lifetime exposure to passive smoking is associated with the risk of breast cancer independent of tumor hormone receptor status with the strongest association in postmenopausal women."
breast cancer	passive smoking	positive_statistical_association	28151962	train	T12	T11	1472:1485	1096:1111	"Association between lifetime exposure to passive smoking and risk of breast cancer subtypes defined by hormone receptor status among non-smoking Caucasian women. 
Tobacco smoking is inconsistently associated with breast cancer. Although some studies suggest that breast cancer risk is related to passive smoking, little is known about the association with breast cancer by tumor hormone receptor status. We aimed to explore the association between lifetime passive smoking and risk of breast cancer subtypes defined by estrogen receptor and progesterone receptor status among non-smoking Caucasian women. A hospital-based case-control study was performed in 585 cases and 1170 controls aged 28-90 years. Information on lifetime passive smoking and other factors was collected via a self-administered questionnaire. Logistic regression was used for analyses restricted to the 449 cases and 930 controls who had never smoked actively. All statistical tests were two-sided. Adjusted odds ratio of breast cancer was 1.01 (95% confidence interval (CI): 0.72-1.41) in women who experienced exposure to passive smoking at work, 1.88 (95% CI: 1.38-2.55) in women who had exposure at home, and 2.80 (95% CI: 1.84-4.25) in women who were exposed at home and at work, all compared with never exposed regularly. Increased risk was associated with longer exposure: women exposed <= 20 years and > 20 years had 1.27 (95% CI: 0.97-1.66) and 2.64 (95% CI: 1.87-3.74) times higher risk of breast cancer compared with never exposed (Ptrend < 0.001). The association of passive smoking with hormone receptor-positive breast cancer did not differ from that with hormone receptor-negative breast cancer (Pheterogeneity > 0.05). There was evidence of interaction between passive smoking intensity and menopausal status in both overall group (P = 0.02) and hormone receptor-positive breast cancer group (P < 0.05). In Caucasian women, lifetime exposure to passive smoking is associated with the risk of breast cancer independent of tumor hormone receptor status with the strongest association in postmenopausal women."
diabetes	SSB	Statistically_associated	29747519	train	T5	T24	618:626	574:577	"Knowledge of Health Conditions Associated With Sugar-Sweetened Beverage Intake Is Low Among US Hispanic Adults. 
PURPOSE: To examine associations between knowledge of health conditions and sugar-sweetened beverage (SSB) intake among Hispanic adults. DESIGN: Quantitative, cross-sectional study. SETTING: The 2015 Estilos survey data. PARTICIPANTS: One thousand US Hispanic adults (>=18 years). MEASURES: The outcome variable was frequency of SSB intake (regular soda, fruit drink, sports/energy drink, and sweetened coffee/tea drink). Exposure variables were knowledge of 6 SSB-related health conditions (weight gain, diabetes, dental caries, high cholesterol, heart disease, and hypertension). ANALYSIS: Six multinomial logistic regression models were used to estimate adjusted odds ratios for consuming SSBs >=3 times/day (high intake), in relation to knowledge of SSB-related health conditions. RESULTS: Overall, 58% of Hispanic adults consumed SSBs >=2 times/day and 36% consumed SSBs >=3 times/day. Although most identified that weight gain (75%) and diabetes (76%) were related to drinking SSBs, only half identified this relation with dental caries (57%) and hypertension (41%). Even fewer identified high cholesterol (32%) and heart disease (32%) as related. In crude analyses, SSB intake was significantly associated with knowledge of the associations between SSBs and weight gain, dental caries, and heart disease; however, after adjusting for sociodemographics and acculturation, associations were no longer significant. CONCLUSIONS: Although SSB intake was very high, knowledge of SSB-related health conditions was low and was not related to high SSB intake among US Hispanic adults. Education efforts alone may not be adequate for Hispanic adults to change their behaviors."
dental caries	SSB	Statistically_associated	29747519	train	T6	T24	628:641	574:577	"Knowledge of Health Conditions Associated With Sugar-Sweetened Beverage Intake Is Low Among US Hispanic Adults. 
PURPOSE: To examine associations between knowledge of health conditions and sugar-sweetened beverage (SSB) intake among Hispanic adults. DESIGN: Quantitative, cross-sectional study. SETTING: The 2015 Estilos survey data. PARTICIPANTS: One thousand US Hispanic adults (>=18 years). MEASURES: The outcome variable was frequency of SSB intake (regular soda, fruit drink, sports/energy drink, and sweetened coffee/tea drink). Exposure variables were knowledge of 6 SSB-related health conditions (weight gain, diabetes, dental caries, high cholesterol, heart disease, and hypertension). ANALYSIS: Six multinomial logistic regression models were used to estimate adjusted odds ratios for consuming SSBs >=3 times/day (high intake), in relation to knowledge of SSB-related health conditions. RESULTS: Overall, 58% of Hispanic adults consumed SSBs >=2 times/day and 36% consumed SSBs >=3 times/day. Although most identified that weight gain (75%) and diabetes (76%) were related to drinking SSBs, only half identified this relation with dental caries (57%) and hypertension (41%). Even fewer identified high cholesterol (32%) and heart disease (32%) as related. In crude analyses, SSB intake was significantly associated with knowledge of the associations between SSBs and weight gain, dental caries, and heart disease; however, after adjusting for sociodemographics and acculturation, associations were no longer significant. CONCLUSIONS: Although SSB intake was very high, knowledge of SSB-related health conditions was low and was not related to high SSB intake among US Hispanic adults. Education efforts alone may not be adequate for Hispanic adults to change their behaviors."
heart disease	SSB	Statistically_associated	29747519	train	T8	T24	661:674	574:577	"Knowledge of Health Conditions Associated With Sugar-Sweetened Beverage Intake Is Low Among US Hispanic Adults. 
PURPOSE: To examine associations between knowledge of health conditions and sugar-sweetened beverage (SSB) intake among Hispanic adults. DESIGN: Quantitative, cross-sectional study. SETTING: The 2015 Estilos survey data. PARTICIPANTS: One thousand US Hispanic adults (>=18 years). MEASURES: The outcome variable was frequency of SSB intake (regular soda, fruit drink, sports/energy drink, and sweetened coffee/tea drink). Exposure variables were knowledge of 6 SSB-related health conditions (weight gain, diabetes, dental caries, high cholesterol, heart disease, and hypertension). ANALYSIS: Six multinomial logistic regression models were used to estimate adjusted odds ratios for consuming SSBs >=3 times/day (high intake), in relation to knowledge of SSB-related health conditions. RESULTS: Overall, 58% of Hispanic adults consumed SSBs >=2 times/day and 36% consumed SSBs >=3 times/day. Although most identified that weight gain (75%) and diabetes (76%) were related to drinking SSBs, only half identified this relation with dental caries (57%) and hypertension (41%). Even fewer identified high cholesterol (32%) and heart disease (32%) as related. In crude analyses, SSB intake was significantly associated with knowledge of the associations between SSBs and weight gain, dental caries, and heart disease; however, after adjusting for sociodemographics and acculturation, associations were no longer significant. CONCLUSIONS: Although SSB intake was very high, knowledge of SSB-related health conditions was low and was not related to high SSB intake among US Hispanic adults. Education efforts alone may not be adequate for Hispanic adults to change their behaviors."
