Publication_ID	Article_Title	Journal_Name	Publication_Year	Data_Set	Lifestyle_Factor_Count	Disease_Count	Relations_Count	Abstract_Text
24999084	Pollution in the working place and social status: co-factors in lung cancer carcinogenesis.	Lung cancer (Amsterdam, Netherlands)	2014	train	20	13	8	Pollution in the working place and social status: co-factors in lung cancer carcinogenesis.  INTRODUCTION: Apart from the association with tobacco consumption, other factors of importance for prevention and early diagnosis of lung cancer have received little attention. We present a case-control study focusing on professional exposure to carcinogens and social status. METHODS: A written questionnaire was completed by 551 consecutive patients with lung cancer and 494 patients with large bowel cancer. The groups were balanced regarding gender and age distribution. The questionnaire included data on place of birth, education, smoking history, diet and alcohol intake, body weight and height, occupation, housing conditions and family income. According to standard epidemiological criteria, professional exposure to carcinogens was classified as professions with exposure to confirmed lung cancer carcinogens, professions with exposure to suspected lung cancer carcinogens and other professions. RESULTS: As expected, there were significant differences between the two groups regarding smoking status. While there were no significant differences in educational levels, more immigrants were among patients with lung cancer (17.9% vs 11.6%, p=0.005). On average, lung cancer patients had a lower body mass index (BMI) at 24.77, as compared to 26.14 for large bowel cancer (p=0.000). Lung cancer patients had lower income and poorer housing conditions; the bivariate difference was significant both for income levels (p=0.046) and type of residence (p=0.009). The proportion of patients working in professions with exposures to known carcinogens was 33.5% for lung cancer, and 17.1% for large bowel cancer (p=0.000). In the multivariate analysis, smoking (p=0.000), BMI (p=0.000) and type of occupation (p=0.001) were significant factors. CONCLUSIONS: While there is no doubt about smoking in lung cancer carcinogenesis, professional exposure to carcinogens and belonging to lower socio-economic strata also play an important role.  
26315001	Cocaine use as an independent predictor of seizures after aneurysmal subarachnoid hemorrhage.	Journal of neurosurgery	2016	train	11	37	6	"Cocaine use as an independent predictor of seizures after aneurysmal subarachnoid hemorrhage.  OBJECTIVE: Seizures are relatively common after aneurysmal subarachnoid hemorrhage (aSAH). Seizure prophylaxis is controversial and is often based on risk stratification; middle cerebral artery (MCA) aneurysms, associated intracerebral hemorrhage (ICH), poor neurological grade, increased clot thickness, and cerebral infarction are considered highest risk for seizures. The purpose of this study was to evaluate the impact of recent cocaine use on seizure incidence following aSAH. METHODS: Prospectively collected data from aSAH patients admitted to 2 institutional neuroscience critical care units between 1991 and 2009 were reviewed. The authors analyzed factors that potentially affected the incidence of seizures, including patient demographic characteristics, poor clinical grade (Hunt and Hess Grade IV or V), medical comorbidities, associated ICH, intraventricular hemorrhage (IVH), hydrocephalus, aneurysm location, surgical clipping and cocaine use. They further studied the impact of these factors on ""early"" and ""late"" seizures (defined, respectively, as occurring before and after clipping/coiling). RESULTS: Of 1134 aSAH patients studied, 182 (16%) had seizures; 81 patients (7.1%) had early and 127 (11.2%) late seizures, with 26 having both. The seizure rate was significantly higher in cocaine users (37 [26%] of 142 patients) than in non-cocaine users (151 [15.2%] of 992 patients, p = 0.001). Eighteen cocaine-positive patients (12.7%) had early seizures compared with 6.6% of cocaine-negative patients (p = 0.003); 27 cocaine users (19%) had late seizures compared with 10.5% non-cocaine users (p = 0.001). Factors that showed a significant association with increased risk for seizure (early or late) on univariate analysis included younger age (< 40 years) (p = 0.009), poor clinical grade (p = 0.029), associated ICH (p = 0.007), and MCA aneurysm location (p < 0.001); surgical clipping was associated with late seizures (p = 0.004). Following multivariate analysis, age < 40 years (OR 2.04, 95% CI 1.355-3.058, p = 0.001), poor clinical grade (OR 1.62, 95% CI 1.124-2.336, p = 0.01), ICH (OR 1.95, 95% CI 1.164-3.273, p = 0.011), MCA aneurysm location (OR 3.3, 95% CI 2.237-4.854, p < 0.001), and cocaine use (OR 2.06, 95% CI 1.330-3.175, p = 0.001) independently predicted seizures. CONCLUSIONS: Cocaine use confers a higher seizure risk following aSAH and should be considered during risk stratification for seizure prophylaxis and close neuromonitoring.  "
32216483	Sexual function changes attributed to hormonal contraception use - a qualitative study of women experiencing negative effects.	The European journal of contraception & reproductive health care : the official journal of the European Society of Contraception	2020	train	7	0	0	Sexual function changes attributed to hormonal contraception use - a qualitative study of women experiencing negative effects.  Objective: To increase the understanding of women who experience negative effects on sexual function when using hormonal contraception.Methods: We performed 24 in-depth interviews with women who had previously experienced negative sexual function effects while using hormonal contraceptives. The thematic analysis method was used.Results: 'After experience comes insight', 'Lubrication and desire go hand in hand', 'Mental wellbeing comes before desire' and 'The contraceptive counsellor potentially facilitates insight and decision-making' were the main themes found in the study.Conclusions: This selected group of women described lubrication difficulties and decreased sexual desire associated with both contraceptive use and the menstrual cycle. Contraceptive use became easier with age and with better understanding. The contraceptive counsellor could facilitate the process. Further choice between hormonal or non-hormonal contraceptive methods depended primarily on experienced adverse effects on mood, and secondarily on sexual function, weighed against the advantages or disadvantages experienced during the person's own menstrual cycle.  
27389672	Agitation in Alzheimer Disease as a Qualifying Condition for Medical Marijuana in the United States.	The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry	2016	train	0	7	0	Agitation in Alzheimer Disease as a Qualifying Condition for Medical Marijuana in the United States.  OBJECTIVE: To determine the extent to which states and localities include dementia as a qualifying condition for medical marijuana and how common this indication is. METHODS: The authors reviewed authorizing legislation and medical marijuana program websites and annual reports for the states and localities where medical marijuana is legal. RESULTS: Of the 24 states and localities where medical marijuana is legal, dementia is a qualifying condition in 10 (41.7%), primarily for agitation of Alzheimer disease. In the five states where information was available regarding qualifying conditions for certification, dementia was the indication for <0.5% of medical marijuana certifications. CONCLUSION: Dementia is somewhat commonly listed as a potential qualifying condition for medical marijuana. Currently, few applicants for medical marijuana list dementia as the reason for seeking certification. However, given increasingly open attitudes toward recreational and medical marijuana use, providers should be aware that dementia is a potential indication for licensing, despite lack of evidence for its efficacy.  
27840505	Lifestyle Determinants on Prevention and Improvement of Dry Eye Disease from the Perspective of Iranian Traditional Medicine.	Iranian journal of medical sciences	2016	train	13	8	8	Lifestyle Determinants on Prevention and Improvement of Dry Eye Disease from the Perspective of Iranian Traditional Medicine.  BACKGROUND: Dry eye disease is one of the most common public health problems in the field of ophthalmology that causes decreased physical, psychological, social and occupational functioning, and interferes with daily activities like reading, driving, computer work and watching TV. The effect of this disease on quality of life is similar to severe migraine and angina. In addition, the severity of the disease is closely related to depression. Outbreaks are increasing with the use of contact lenses and refractive surgery such as LASIK. The purpose of this paper is to assess the causes of dry eye and its prevention by the principles of hygiene. METHODS: In this review study, traditional medicine resources like Al canon fil tibb, Sharh-al-Al Asbab and Exir-e-azam have been studied with engine motors such as Google Scholar and PubMed. RESULTS: From the perspective of Iranian traditional medicine, the principles of maintaining health include air, food and drink, exercise and rest, sleep and wakefulness, mental state, retention of essential materials and depletion of wastes from the body. Proper performance of each principle is useful for the prevention of disease in different organs, including the eyes. Recommendations for the prevention or treatment of dry eye disease include the prevention of dryness in the eye or the entire body. In addition, the stomach and brain are important to eye health. Accordingly, one of the most effective managements of dry eye disease is avoiding foods that affect the eye in this way; for example garlic and onion. CONCLUSION: Maintaining eye health is related to aspects of physical and mental health of the whole body. Therefore, codification of an integrated plan that contains eating and sleeping patterns, exercise, general clearing, eye clearing, and mental health is essential for treating dry eye disease.  
5531341	The effect of thyroid hormones on the action of some centrally acting drugs.	British journal of pharmacology	1970	train	19	6	1	The effect of thyroid hormones on the action of some centrally acting drugs.  1. The effect of administration of thyroxine or thyroidectomy on the pharmacological action of (+)-amphetamine, caffeine, hexobarbitone and morphine was determined in rats or mice.2. Locomotor activity induced by (+)-amphetamine or caffeine was increased by hyperthyroidism and decreased by hypothyroidism.3. The LD50s of (+)-amphetamine and caffeine in hyperthyroid rats were 1/30 and 2/5 that of control rats. With each drug, the LD50 regression lines in hyperthyroid and control rats were not parallel, suggesting that hyperthyroidism modifies the mechanism of the toxic effects. Hypothyroidism reduced toxicity to (+)-amphetamine.4. Hexobarbitone sleeping time was prolonged in hyperthyroid male rats, but was shortened in hyperthyroid female rats. In control rats, sleeping time was approximately four times as long in females as it was in males. Ethinyloestradiol treatment and castration also prolonged sleeping time in male rats. No further prolongation was produced by combined administration of thyroxine and ethinyloestradiol, but thyroxine further prolonged the sleeping time of castrated rats indicating that its mode of action in producing these changes is not mediated via sex hormones.5. In contrast to rats, a sex difference in the duration of action of hexobarbitone was not found in mice. Thyroxine prolonged sleeping time equally in each sex.6. Analgesia induced by morphine in mice was unaffected by hyperthyroidism. No increase in sedative or ;Straub tail' activity could be detected, but toxicity was increased when higher doses of morphine were used.7. The mechanism by which thyroid hormones produce these changes in sensitivity to centrally acting drugs is discussed. It is suggested that the effects of thyroxine vary according to whether the mode of action of the drug or its metabolism is modified.  
10607215	Implementation of napping in industry and the problem of sleep inertia.	Journal of sleep research	1995	train	16	0	0	Implementation of napping in industry and the problem of sleep inertia.  It seems reasonable to believe that in specific situations napping at the work place would be possible and used if authorized and encouraged. Very short naps could have very positive long-term effects on biological functions. Training someone to sleep for short periods appears feasible if there is a high motivation to do so. Sleep inertia can be considered as one of the main limiting factors in napping strategy. Sleep inertia depends on different factors such as sleep stage preceding the awakening, temporal placement of the nap, duration of nap and wakefulness preceding it, etc. The effects of sleep inertia might be different depending on the type of task, and a reactivation technique applied immediately after awakening may remove it. Despite the fact that its implementation in industry raises some practical issues, napping can be considered as a possible strategy to increase the vigilance level of night workers.  
17905137	Endocrine disruptors and hypospadias: role of genistein and the fungicide vinclozolin.	Urology	2007	train	29	10	7	Endocrine disruptors and hypospadias: role of genistein and the fungicide vinclozolin.  OBJECTIVES: The phytoestrogen (plant estrogen) genistein, present in soy products, is of interest because in utero exposure to genistein can cause hypospadias in our mouse model and maternal consumption of soy is prevalent in human populations. Another compound of interest is the fungicide vinclozolin, which also causes hypospadias in the mouse and rat and can occur concurrently with genistein in the diet as a residue on exposed foods. A study in the United Kingdom found no relationship between a maternal organic vegetarian diet and hypospadias frequency, but women who consumed nonorganic vegetarian diets had a greater percentage of sons with hypospadias. Because nonorganic diets can include residues of pesticides such as vinclozolin, we sought to assess the interaction of realistic daily exposures to genistein and vinclozolin and their effects on the incidence of hypospadias. METHODS: Pregnant mice were fed a soy-free diet and orally gavaged from gestational days 13 to 17 with 0.17 mg/kg/day of genistein, 10 mg/kg/day of vinclozolin, or genistein and vinclozolin together at the same doses, all in 100 microL of corn oil. The controls received the corn oil vehicle. The male fetuses were examined at gestational day 19 for hypospadias, both macroscopically and histologically. RESULTS: We identified no hypospadias in the corn oil group. The incidence of hypospadias was 25% with genistein alone, 42% with vinclozolin alone, and 41% with genistein and vinclozolin together. CONCLUSIONS: These findings support the idea that exposure to these compounds during gestation could contribute to the development of hypospadias.  
28926373	Exposure to Mobile Source Air Pollution in Early-life and Childhood Asthma Incidence: The Kaiser Air Pollution and Pediatric Asthma Study.	Epidemiology (Cambridge, Mass.)	2018	train	13	8	4	Exposure to Mobile Source Air Pollution in Early-life and Childhood Asthma Incidence: The Kaiser Air Pollution and Pediatric Asthma Study.  BACKGROUND: Early-life exposure to traffic-related air pollution exacerbates childhood asthma, but it is unclear what role it plays in asthma development. METHODS: The association between exposure to primary mobile source pollutants during pregnancy and during infancy and asthma incidence by ages 2 through 6 was examined in the Kaiser Air Pollution and Pediatric Asthma Study, a racially diverse birth cohort of 24,608 children born between 2000 and 2010 and insured by Kaiser Permanente Georgia. We estimated concentrations of mobile source fine particulate matter (PM2.5, microg/m), nitrogen oxides (NOX, ppb), and carbon monoxide (CO, ppm) at the maternal and child residence using a Research LINE source dispersion model for near-surface releases. Asthma was defined using diagnoses and medication dispensings from medical records. We used binomial generalized linear regression to model the impact of exposure continuously and by quintiles on asthma risk. RESULTS: Controlling for covariates and modeling log-transformed exposure, a 2.7-fold increase in first year of life PM2.5 was associated with an absolute 4.1% (95% confidence interval, 1.6%, 6.6%) increase in risk of asthma by age 5. Quintile analysis showed an increase in risk from the first to second quintile, but similar risk across quintiles 2-5. Risk differences increased with follow-up age. Results were similar for NOX and CO and for exposure during pregnancy and the first year of life owing to high correlation. CONCLUSIONS: Results provide limited evidence for an association of early-life mobile source air pollution with childhood asthma incidence with a steeper concentration-response relationship observed at lower levels of exposure.  
9602551	Particulate emission rates for unpaved shoulders along a paved road.	Journal of the Air & Waste Management Association (1995)	1998	train	7	0	0	"Particulate emission rates for unpaved shoulders along a paved road.  This paper reports the first empirical estimate of particle emissions from unpaved shoulders along paved roads. Its objectives are to develop and demonstrate an emission rate measurement methodology that can be applied in different areas; identify the mechanisms that suspend dust from unpaved shoulders and the observables related to this suspension process; and quantify PM10 mass emissions in the form of an emission rate. To achieve these objectives, fast-response observations from nephelometers and a sonic anemometer were used to characterize short-lived dust plumes generated by passing vehicles. In addition, detailed soil surface measurements determined the mechanical properties of the shoulder surfaces. Large traffic-induced turbulence events that led to significant dust entrainment were almost exclusively caused by ""large"" vehicles such as trucks, semis, and vehicles pulling trailers, all traveling 50-65 mph. PM10 emission rates for these large, fast-traveling vehicles were determined to be 8 +/- 4 grams per vehicle kilometer traveled under dry conditions. Emissions due to smaller vehicles such as cars, vans, and sport utility vehicles were negligible for normal on-road driving. These results indicate that the majority of PM10 emissions from unpaved shoulders is caused by relatively few vehicles.  "
9813737	[Pathogenesis and epidemiology of arterial hypertension].	Drugs	1998	train	9	20	2	[Pathogenesis and epidemiology of arterial hypertension].  The pathogenesis of arterial hypertension is more clearly understood today because of the availability of data enabling identification of a certain number of precipitating factors. From a genetic standpoint, hypertension would appear to be a multifactorial polygenic disorder with a tendency to interact with certain environmental factors. The latter are mainly related to lifestyle and are potentially modifiable. Obesity during childhood and adolescence is the main predictive factor for hypertension. It has been suggested that the underlying mechanism could well be hyperinsulinaemia, which induces hyperactivity of the sympathetic nervous system. The mechanisms of the relationship between hypertension and alcohol are still unclear. However, in many countries, excessive alcohol consumption has been reported to be a significant factor in the development of arterial hypertension. The negative effect of a sedentary lifestyle on blood pressure has been widely demonstrated. In addition, it has also been shown that regular physical exercise under aerobic conditions leads to a reduction in blood pressure levels. An excessive sodium intake is also responsible for inducing arterial hypertension through increases in cardiac output and effects on vascular reactivity and contractility. Similarly, restricting sodium intake leads to a reduction in blood pressure levels. Smoking--namely, certain components of tobacco smoke--would appear to have both short and long term effects on blood pressure. These contributing factors all have specific effects on cardiac output and peripheral resistance in individuals. At the community level, the impact of hypertension is particularly significant. Prevalence is strongly influenced by the type of population studied, although it is generally estimated that this disease affects between 10 and 20% of the adult population and is responsible for 5.8% of all deaths worldwide. The direct and indirect costs of the disease are particularly high and are generally considered to be underestimated since a significant proportion of cardiac disease and stroke should also be included in any cost estimates, giving extremely high final figures. Hypertension-related morbidity and mortality principally result from cardiovascular complications and approximately 35% of atherosclerotic cardiovascular events can be attributed to hypertension. The highest risks are associated with stroke (relative risk: 3.8) and congestive heart failure in individuals with hypertension, in whom the risk is quadrupled. With regard to risk for an individual, the higher the blood pressure the greater the risk for the patient. However, the situation is very different if the entire population is being considered. In this instance, the highest risk is associated with mild hypertension since this involves the largest proportion of the hypertensive population. Similarly, relative risk corresponds to a probability rate that applies to populations rather than individuals. In response to this contradiction, the concept of absolute risk was proposed and corresponds to the prevalence of the disease. The approach to hypertension treatment based on absolute risk has recently been proposed for use in clinical practice. It takes into account lesions of the target organ together with any other risk factors and thus integrates the notion of prevention which remains the principal approach to the problems encountered in the management of hypertension.  
25009076	Anti-cyclic citrullinated peptide (CCP) antibody in patients with wood-smoke-induced chronic obstructive pulmonary disease (COPD) without rheumatoid arthritis.	Rheumatology international	2015	train	15	17	10	Anti-cyclic citrullinated peptide (CCP) antibody in patients with wood-smoke-induced chronic obstructive pulmonary disease (COPD) without rheumatoid arthritis.  Citrullination, a post-translational modification of proteins, is increased in inflammatory processes and is known to occur in smokers. It can induce anti-cyclic citrullinated peptide (CCP) antibodies, the most specific serologic marker for rheumatoid arthritis. Thus far, the incidence of autoimmunity in patients with wood-smoke-induced chronic obstructive pulmonary disease (COPD) resulting in anti-CCP production has not been examined. We hypothesise that anti-CCP antibody level in these patients should be higher than that in healthy subjects. A total of 112 non-rheumatoid arthritis patients, including 56 patients with wood-smoke-induced COPD and 56 patients with tobacco-induced COPD, and 56 healthy non-smoker controls were included. The serum anti-CCP antibody levels were measured and compared between the groups and against smoke exposure and clinical characteristics. The mean anti-CCP antibody levels in wood-smoke-induced COPD group were significantly higher than those in tobacco-induced COPD group (p = 0.03) and controls (p = 0.004). Furthermore, 8 (14.2 %) patients with wood-smoke-induced COPD, 4 (7.14 %) with tobacco-induced COPD and 2 (3.57 %) controls exceeded the conventional cut-off of anti-CCP antibody positivity. No relationship was found between the anti-CCP antibody level and age, gender, duration of disease, Pack-years of smoking, and duration of exposure to wood smoke. Moreover, correlations between anti-CCP antibodies and severity of airflow limitation, CAT scores, mMRC scores of dyspnoea, and GOLD staging of COPD severity were not significant. Wood-smoke-induced COPD could significantly increase the anti-CCP antibody level in non-rheumatoid arthritis patients when compared with that in patients with tobacco-induced COPD and healthy controls.  
17159585	Factors distinguishing employed from unemployed people in the Positive Health Study.	AIDS (London, England)	2007	train	13	12	2	Factors distinguishing employed from unemployed people in the Positive Health Study.  OBJECTIVE: To identify predictors of unemployment among Australian people living with HIV/AIDS. DESIGN: A longitudinal cohort of Australian men living with HIV/AIDS. METHODS: Participants were separated into two groups, currently working versus currently unemployed. The two groups were compared on a range of factors related to physical health, mental health and sociodemographic variables. Each family of variables was reduced to a set of best predictors, and multivariate log binomial regression was used to identify the predictors of unemployment. RESULTS: Unemployment was more likely among those who experienced HIV/AIDS-related illness, scored higher on the Kessler scale of psychological distress and were older. There was a lower likelihood of unemployment among those who had better self-rated health, had been living with HIV/AIDS for a shorter period and who had a tertiary education. CONCLUSION: These findings indicate that unemployment among people living with HIV/AIDS is best understood within a combined social and medical context. Interventions that acknowledge the differences in age and education that contribute to unemployment would improve employment prospects among people living with HIV/AIDS.  
18815990	An in-session exploration of ruptures in working alliance and their associations with clients' core conflictual relationship themes, alliance-related discourse, and clients' postsession evaluations.	Psychotherapy research : journal of the Society for Psychotherapy Research	2008	train	2	0	0	"An in-session exploration of ruptures in working alliance and their associations with clients' core conflictual relationship themes, alliance-related discourse, and clients' postsession evaluations.  This exploratory study examined (a) the relationship among the occurrence of ruptures in the working alliance, the emergence of client's core conflictual relationship themes (CCRT), and focus of discourse within therapeutic sessions and (b) the relationship between ruptures in the working alliance and client's postsession evaluations of session's smoothness and depth. The authors included 151 sessions from five therapies conducted in a student counseling center. Sessions were content analyzed by independent raters, and a self-report questionnaire was given to clients after each session. Ruptures were positively related to the emergence of clients' CCRT during the session, but only when the therapist was addressed as the ""other."" Sessions with ruptures were characterized by heightened discussion of working alliance components and were evaluated as less smooth than sessions without ruptures. Findings are discussed, and the importance of ruptures in working alliance for therapeutic change is emphasized.  "
33271861	Hand Hygiene Behaviors in a Representative Sample of Polish Adolescents in Regions Stratified by COVID-19 Morbidity and by Confounding Variables (PLACE-19 Study): Is There Any Association?	Pathogens (Basel, Switzerland)	2020	train	22	9	3	Hand Hygiene Behaviors in a Representative Sample of Polish Adolescents in Regions Stratified by COVID-19 Morbidity and by Confounding Variables (PLACE-19 Study): Is There Any Association?  The hand hygiene may possibly influence the course of the COVID-19 pandemic, but the multifactorial influence on hand hygiene knowledge and behaviors is proven. The aim of the study was to analyze hand hygiene behaviors in a national representative sample of Polish adolescents in regions stratified by COVID-19 morbidity, while taking socioeconomic status of the region, as well rural or urban environment, into account as possible interfering factors. The study was conducted Polish Adolescents' COVID-19 Experience (PLACE-19) Study population (n = 2323) that was recruited based on a random sampling of schools, while the pair-matching procedure was applied within schools and age, in order to obtain adequate number of boys and girls, representative for the general Polish population (n = 1222). The participants were asked about their handwashing habits while using Handwashing Habits Questionnaire (HHQ) and about applied procedure of washing hands. The results were compared in subgroups that were stratified by region for COVID-19 morbidity, socioeconomic status of the region, and rural/urban environment. In regions of low COVID-19 morbidity, a higher share of adolescents, than in regions of high morbidity, declared washing their hands before meals (p = 0.0196), after meals (p = 0.0041), after preparing meals (p = 0.0297), before using the restroom (p = 0.0068), after using the restroom (p = 0.0014), after combing their hair (p = 0.0298), after handshaking (p = 0.0373), after touching animals (p = 0.0007), after contacting babies (p = 0.0278), after blowing nose (p = 0.0435), after touching sick people (p = 0.0351), and after cleaning home (p = 0.0234). For the assessed steps of the handwashing procedure, in regions of low COVID-19 morbidity, a higher share of adolescents included them to their daily handwashing, than in regions of high morbidity, that was stated for removing watch and bracelets (p = 0.0052), removing rings (p = 0.0318), and drying hands with towel (p = 0.0031). For the comparison in regions stratified by Gross Domestic Product, the differences were only minor and inconsistent. For the comparison in place of residence stratified by number of residents in city, there were some minor differences indicating better hand hygiene behaviors in the case of villages and small towns when compared with medium and large cities (p < 0.05). It may be concluded that, in a population-based sample of Polish adolescents, individuals from regions of low COVID-19 morbidity presented more beneficial hand hygiene habits than those from regions of high COVID-19 morbidity.  
29551329	Air Quality Awareness Among U.S. Adults With Respiratory and Heart Disease.	American journal of preventive medicine	2018	train	12	13	3	Air Quality Awareness Among U.S. Adults With Respiratory and Heart Disease.  INTRODUCTION: Poor air quality affects respiratory and cardiovascular health. Information about health risks associated with outdoor air quality is communicated to the public using air quality alerts. This study was conducted to assess associations of existing respiratory and heart disease with three aspects of air quality awareness: awareness of air quality alerts, discussing with a health professional strategies to reduce air pollution exposure, and avoiding busy roads to reduce air pollution exposure when walking, biking, or exercising outdoors. METHODS: During 2014-2016, a total of 12,599 U.S. adults participated in summer waves of the ConsumerStyles surveys and self-reported asthma, emphysema/chronic obstructive pulmonary disease, heart disease, and each aspect of air quality awareness. In 2017, associations between each health condition and air quality awareness were estimated using log binomial and multinomial regression. RESULTS: Overall, 49% of respondents were aware of air quality alerts, 3% discussed with a health professional strategies to reduce air pollution exposure, and 27% always/usually avoided busy roads to reduce air pollution exposure. Asthma was associated with increased prevalence of awareness of air quality alerts (prevalence ratio=1.11, 95% CI=1.04, 1.20), discussing with a health professional (prevalence ratio=4.88, 95% CI=3.74, 6.37), and always/usually avoiding busy roads to reduce air pollution exposure (prevalence ratio=1.13, 95% CI=1.01, 1.27). Heart disease was not associated with air quality awareness. CONCLUSIONS: Existing respiratory disease, but not heart disease, was associated with increased air quality awareness. These findings reveal important opportunities to raise awareness of air quality alerts and behavior changes aimed at reducing air pollution exposure among adults at risk of exacerbating respiratory and heart diseases.  
32240017	Exercise and physical activity in cirrhosis: opportunities or perils.	Journal of applied physiology (Bethesda, Md. : 1985)	2020	train	17	11	0	Exercise and physical activity in cirrhosis: opportunities or perils.  Reduced exercise capacity and impaired physical performance are observed in nearly all patients with liver cirrhosis. Physical activity and exercise are physiological anabolic stimuli that can reverse dysregulated protein homeostasis or proteostasis and potentially increase muscle mass and contractile function in healthy subjects. Cirrhosis is a state of anabolic resistance, and unlike the beneficial responses to exercise reported in physiological states, there are few systematic studies evaluating the response to exercise in cirrhosis. Hyperammonemia is a mediator of the liver-muscle axis with net skeletal muscle ammonia uptake in cirrhosis causing signaling perturbations, mitochondrial dysfunction with decreased ATP content, modifications of contractile proteins, and impaired ribosomal function, all of which contribute to anabolic resistance in cirrhosis and have the potential to impair the beneficial responses to exercise. English language-publications in peer-reviewed journals that specifically evaluated the impact of exercise in cirrhosis were reviewed. Most studies evaluated responses to endurance exercise, and readouts included peak or maximum oxygen utilization, grip strength, and functional capacity. Endurance exercise for up to 12 wk is clinically tolerated in well-compensated cirrhosis. Data on the safety of resistance exercise are conflicting. Nutritional supplements enhance the benefits of exercise in healthy subjects but have not been evaluated in cirrhosis. Whether the beneficial physiological responses with endurance exercise and increase in muscle mass with resistance exercise that occur in healthy subjects also occur in cirrhotics is not known. Specific organ-system responses, changes in body composition, or improved long-term clinical outcomes with exercise in cirrhosis need evaluation.  
33934047	Polysomnographic nighttime features of narcolepsy: A systematic review and meta-analysis.	Sleep medicine reviews	2021	train	8	9	6	Polysomnographic nighttime features of narcolepsy: A systematic review and meta-analysis.  Polysomnographic studies have been conducted to explore nighttime sleep features in narcolepsy, but their relationship to narcolepsy is still imperfectly understood. We conducted a systematic review of the literature exploring polysomnographic differences between narcolepsy patients and healthy controls (HCs) in EMBASE, MEDLINE, All EBM databases, CINAHL, and PsycINFO. 108 studies were identified for this review, 105 of which were used for meta-analysis. Meta-analyses revealed significant reductions in sleep latency, sleep efficiency, slow wave sleep percentage, rapid eye movement sleep (REM) latency, cyclic alternating pattern rate, and increases in total sleep time, wake time after sleep onset (WASO), awakening numbers (AWN) per hour, stage shift (SS) per hour, N1 percentage, apnea hypopnea index, and periodic limb movement index in narcolepsy patients compared with HCs. Furthermore, narcolepsy type 1 patients showed more disturbed nighttime sleep compared with narcolepsy type 2 patients. Children and adolescent narcolepsy patients show increased WASO, AWN, and SS compared with adult patients. Macro- and micro-structurally, our study suggests that narcolepsy patients have poor nighttime sleep. Sex, age, body mass index, disease duration, disease type, medication status, and adaptation night are demographic, clinical and methodological factors that contribute to heterogeneity between studies.  
19083041	Effects of high-AGE beverage on RAGE and VEGF expressions in the liver and kidneys.	European journal of nutrition	2009	train	5	0	0	Effects of high-AGE beverage on RAGE and VEGF expressions in the liver and kidneys.  BACKGROUND: The formation and accumulation of advanced glycation end products (AGEs) increase in some lifestyle-related diseases as well as in aging; however, little is known about the relationship between food-derived AGEs and the pathology of such diseases. AIM OF THE STUDY AND METHODS: To explore whether food items containing high levels of AGEs are involved in the development of lifestyle-related diseases, rats were orally administered a commercial high-AGE beverage [Lactobacillus beverage-A (LB-A)]. With a particular focus on angiogenesis-associated diseases, the gene expressions of vascular endothelial growth factor (VEGF) and the receptor for AGEs (RAGE) were examined in the liver and kidneys using real-time reverse transcription-polymerase chain reaction. Moreover, AGE deposition was immunohistochemically investigated in these tissues. RESULTS AND CONCLUSIONS: Hepatic VEGF expression was significantly increased in rats administered LB-A (P < 0.01 vs. control). Furthermore, immunohistochemical analysis detected glucose-derived AGE-positive cells in the liver from the LB-A group. These results suggest that AGE-rich beverages increase hepatic VEGF expression and AGE accumulation, bringing about early events associated with lifestyle-related diseases.  
12510035	Homicidal commotio cordis: the final blow in a battered infant.	Child abuse & neglect	2003	train	3	0	0	Homicidal commotio cordis: the final blow in a battered infant.  OBJECTIVE: This report describes in detail the occurrence of inflicted commotio cordis (cardiac concussion) in a previously abused 7-week-old. Though inflicted commotio cordis has been reported in three toddlers, this is the first report in a young infant. METHOD: Following documentation of abuse in a living child, the case of a death of a prior sibling--previously regarded as natural--was re-opened for further investigation. Original autopsy materials were reviewed, and the body of the deceased child was exhumed. RESULTS: Exhumation and second autopsy documented more than 50 fractures in the deceased child. When re-interviewed, the children's father admitted to causing the injuries in both children, and gave a textbook description of commotio cordis as the mechanism of death in the fatal case. CONCLUSIONS: Commotio cordis is a rare event in which a fatal dysrhythmia--usually ventricular fibrillation--is precipitated by a blow to the precordial chest. Previous reports have indicated that homicidal commotio cordis can occur in small children. This report demonstrates that commotio cordis can occur even in the very young, previously abused infant.  
